Reviews,Stars,Date,Country,Verified,corpus
"Not Verified | Only the second time flying BA as first time wasn’t positive. Could have made my connection in Heathrow if BA had been proactive. Instead, overnight at the Renaissance hotel compliments of BA. Adequate, but one wonders why a large part of this hotel is devoted to sleeping and feeding of hundreds of stranded passengers. If BA had offered one employee to help us get to our gate instead of waiting for the shuttle bus which was a half hour late arriving, we could have made our flight and saved BA the cost of rebooking, hotel, shuttle, food accommodations. Another bad show. Business class fare should offer more.",5,2023-05-14, United States ,False,verified second time flying ba first time positive could made connection heathrow ba proactive instead overnight renaissance hotel compliment ba adequate one wonder large part hotel devoted sleeping feeding hundred stranded passenger ba offered one employee help u get gate instead waiting shuttle bus half hour late arriving could made flight saved ba cost rebooking hotel shuttle food accommodation another bad show business class fare offer
"✅ Trip Verified | I wasn't going to bother reviewing this flight as I seem to be on a perpetual downer with BA but the airport experience convinced me otherwise. After having our flight class reduced from First to Business, then offered an alternative route on the outward leg in First to make up for the disappointment, they then reneged on this. As it was a special anniversary it sucked. Flying back we checked in online to our chosen window seats, at the gate we had to show our passports as we passport before boarding as we were hand luggage only. Trying to board we had our passports checked twice more and were issued new boarding cards for centre seats. Unbelievable! The flight itself was very quiet and only half the normal crew for this aircraft was unavailable. This meant no pre-departure drinks and a limited selection of food. The crew was great but what an earth is going on at BA, they have this unique knack to snatch defeat from the jaws of victory every time. I say this as the new club suites are great.",3,2023-05-14, United Kingdom ,True,going bother reviewing flight seem perpetual downer ba airport experience convinced otherwise flight class reduced first business offered alternative route outward leg first make disappointment reneged special anniversary sucked flying back checked online chosen window seat gate show passport passport boarding hand luggage trying board passport checked twice issued new boarding card centre seat unbelievable flight quiet half normal crew aircraft unavailable meant pre departure drink limited selection food crew great earth going ba unique knack snatch defeat jaw victory every time say new club suite great
"✅ Trip Verified |  I booked business class tickets for my fiancé and I. I had to reschedule my flight due to an unforeseen timing change, so I called to get have my flight refunded. The representative on the phone informed me he wasn't sure how much I would get, as the refund department needed to check, but estimated I would lose 10-20% of my booking to fees. I accepted. I never got a cancellation email, or any update, but instead received $35 total back. Less than 1% of my booking costs. Since then I have spent over 5 hours calling different departments before they blocked me. I've lost a tremendous amount of money with nothing to show.",3,2023-05-13, United States ,True,booked business class ticket fianc reschedule flight due unforeseen timing change called get flight refunded representative phone informed sure much would get refund department needed check estimated would lose booking fee accepted never got cancellation email update instead received total back le booking cost since spent hour calling different department blocked lost tremendous amount money nothing show
"✅ Trip Verified |  I will never travel with British Airways again. I spent over $10,000 on a business class seat to attend a funeral in the UK. First, the Boeing 787-9 cabin has 7 seats across the aisle so what you are getting in reality is premium economy. The seats are narrow and effectively are a business class seat cut in half. They have squeezed these seats in which means that some passengers bump their heads into the bulkhead when they stand up and many have to clamber over others to go to the toilet, which wakes up that passenger. The whole point about business class is that you pay to rest and have privacy and not have someone push over the top of you. Second, the food was disgusting. Third, the service terrible. Fourth, the toilet was tiny. Fifth, the inflight screen was fixed and too high so I could not see anything. Sixth, their baggage handling is also appalling meaning that my taxi was waiting for 2 hours and I had to pay more (no free airport transfers with British Airways). Seventh, the charging points did not work. The second leg to London was on a larger plane with 4 seats across the aisle. That was bearable because no hopping over people but the seat was very uncomfortable because it was not one piece. This means that you are sleeping on a metal bar (the seat) where there is a gap in the seat. To add insult to injury I now find that both flights back to Sydney are on the small plane. To book a seat before check in is $170. I paid it but note that there were only 4 seats left. This is why I got the worst seat in the house going out. This is the most appalling airline service I have ever encountered. There is no point paying for business class in British Airways. ",1,2023-05-08, Australia ,True,never travel british airway spent business class seat attend funeral uk first boeing cabin seat across aisle getting reality premium economy seat narrow effectively business class seat cut half squeezed seat mean passenger bump head bulkhead stand many clamber others go toilet wake passenger whole point business class pay rest privacy someone push top second food disgusting third service terrible fourth toilet tiny fifth inflight screen fixed high could see anything sixth baggage handling also appalling meaning taxi waiting hour pay free airport transfer british airway seventh charging point work second leg london larger plane seat across aisle bearable hopping people seat uncomfortable one piece mean sleeping metal bar seat gap seat add insult injury find flight back sydney small plane book seat check paid note seat left got worst seat house going appalling airline service ever encountered point paying business class british airway
"✅ Trip Verified |  I am already in Portugal so contacted them today and they cancelled my return flight because I was 10 minutes late calling them, even though I tried for 2 hours to get through the day before. Now I am unable to get back and they have kept the 500 pounds. Customer service is shocking, they have no intention of helping you.",1,2023-05-06, United Kingdom ,True,already portugal contacted today cancelled return flight minute late calling even though tried hour get day unable get back kept pound customer service shocking intention helping
✅ Trip Verified |  Terrible. Avoid this airline. It’s now becoming regular practice to cancel flights. Had a cancellation from Switzerland that forced us to spend the whole night in a cheap hotel and had to fly out the next day and then had another cancellation to Spain. The airline only knows how to ask for expensive prices.,1,2023-05-06, United Kingdom ,True,ble avoid airline becoming regular practice cancel flight cancellation switzerland forced u spend whole night cheap hotel fly next day another cancellation spain airline know ask expensive price
"✅ Trip Verified |  Despite being a gold member, the British Airways staff in Heathrow literally could not care in the slightest about the absolute turmoil and logistical damage or wider impact of their terrible service. All the staff members repeat the same mantra - “we are not obliged to provide even an update for the first 24 hours” as if that would make the situation better. There are no proactive updates, no empathy, no care but a lot of actual lies being told. You can tell that they have given up any care or thought for the passengers as actual individuals - they show this in every action and word they say. All of them are better suited to working away from other humans.",1,2023-05-01, United Kingdom ,True,despite gold member british airway staff heathrow literally could care slightest absolute turmoil logistical damage wider impact terrible service staff member repeat mantra obliged provide even update first hour would make situation better proactive update empathy care lot actual lie told tell given care thought passenger actual individual show every action word say better suited working away human
"Not Verified | Regarding the aircraft and seat: The business class seats on this flight were pretty good. All were of the suite type, where every seat has its own booth with sliding door for extra privacy. The downside to this is that if you are travelling as a couple, its quite difficult to interact. There is ample storage and USB charging ports. The seat is pretty comfortable. As someone who finds it very difficult to sleep on flights, this was one of the only times I've been able to get a few minutes sleep here and there. The amenities provided are pretty average when compared to other airlines. The leather toiletry bag was quite nice though. No slippers, only a pair of socks. The restrooms on the flight are very small, and don't provide much in the way of toiletries compared to other airlines. No free Wi-Fi in Business Class is not acceptable. Another example of BA's penny pinching in recent years. Regarding the staff and customer service: Poor. Inattentive. Beyond meal times there was offer of water during the flight. I had to go and find an attendant and ask. There was also no offer of any snacks. Rude at times. My partner asked for a fork to be replaced as the one provided was quite clearly dirty. The attendant was incredibly rude in response. This left us shocked. Different customers seem to receive a different quality of service. A customer behind me was repeatedly greeted politely by name and asked how they were, whether they needed anything etc. whereas my partner and I were not afforded the same level of personal service. This is disappointing as we paid the same price for the tickets so expect the same level of service. The food was pretty bad. I had risotto while my partner had chicken. Both were extremely over cooked and the rice looked like porridge. The vegetables were discoloured and flavourless. The bread was nice though. The breakfast wasn't much better. Summary: BA has become the Ryanair of long haul. The customer service is way below what I would expect for a premium airline in a premium seat. You pay a premium price for a very average service. If there are other options available I would choose them over BA these days.",2,2023-04-28, United Kingdom ,False,verified regarding aircraft seat business class seat flight pretty good suite type every seat booth sliding door extra privacy downside travelling couple quite difficult interact ample storage usb charging port seat pretty comfortable someone find difficult sleep flight one time able get minute sleep amenity provided pretty average compared airline leather toiletry bag quite nice though slipper pair sock restroom flight small provide much way toiletry compared airline free wi fi business class acceptable another example ba penny pinching recent year regarding staff customer service poor inattentive beyond meal time offer water flight go find attendant ask also offer snack rude time partner asked fork replaced one provided quite clearly dirty attendant incredibly rude response left u shocked different customer seem receive different quality service customer behind repeatedly greeted politely name asked whether needed anything etc whereas partner afforded level personal service disappointing paid price ticket expect level service food pretty bad risotto partner chicken extremely cooked rice looked like porridge vegetable discoloured flavourless bread nice though breakfast much better summary ba become ryanair long haul customer service way would expect premium airline premium seat pay premium price average service option available would choose ba day
"Not Verified | I travelled with British Airways from Sweden to Los Angeles via London in December 2022. When I arrived at LAX one of my bags were missing. There was no information of the whereabouts of my bag and after searching for someone for about 30 minutes, I found the point of contact and she told me my bag was left behind. I gave her my details of where I would be staying and she told me that they would contact me. After a few days and still no contact I tried to call British Airways customer service. The woman at the airport didn’t give me a file reference number, so it was quite difficult to try and locate my bag, but they finally found the reference number and my bag and said it would be delivered in a couple of days. I told them that I had switched hotels and gave them the address for where I was staying and everything was fine. But then a couple of weeks went by and my bag was still nowhere to be seen and it was time for me to fly home. At the airport I tried to talk with the personnel there to try and locate my bag and they said that it was delivered to the first hotel I stayed at, even though I had given them an updated address. I asked them what I should to since I was flying home now. The guy at the counter told me that it wasn’t his problem and that I should figure it out myself. I questioned him about his response and he just walked away. A manager saw that and came up to me and apologized for his colleague and that they would send someone to fetch my bag and send it with either my flight or the next one. I came home and a couple of days later I received my bag. I made a complaint and claims on British Airways website since I had to buy clothes and toiletries during my vacation because I didn’t have my bag. In January they said that they would refund me for my claims, it is now April (almost May) and I have still not received the refund even after multiple email conversations. I don’t know what to do anymore about this situation since it appears that no one is willing to help me. I am appalled about how the situation is being handled and frankly disappointed at British Airways and the lack of customer service.",5,2023-04-26, Sweden ,False,verified travelled british airway sweden los angeles via london december arrived lax one bag missing information whereabouts bag searching someone minute found point contact told bag left behind gave detail would staying told would contact day still contact tried call british airway customer service woman airport give file reference number quite difficult try locate bag finally found reference number bag said would delivered couple day told switched hotel gave address staying everything fine couple week went bag still nowhere seen time fly home airport tried talk personnel try locate bag said delivered first hotel stayed even though given updated address asked since flying home guy counter told problem figure questioned response walked away manager saw came apologized colleague would send someone fetch bag send either flight next one came home couple day later received bag made complaint claim british airway website since buy clothes toiletry vacation bag january said would refund claim april almost may still received refund even multiple email conversation know anymore situation since appears one willing help appalled situation handled frankly disappointed british airway lack customer service
"Not Verified |  Food was lousy. Who ever is planning the Asian Hindu Vegetarian meal is clueless as to what this meal includes. The snack was also lousy. It took us 2 hours just to go from T5 to T3 and clear security check. The place was chaotic. We get to our boarding gate and again a long line with 40 minutes wait for someone to check passport and boarding pass. Seats in Premium economy was ok, but when the passenger in front reclines, there is very little space for the window seat passenger to cross over. Overall not a good airline.",1,2023-04-24, United States ,False,verified food lousy ever planning asian hindu vegetarian meal clueless meal includes snack also lousy took u hour go clear security check place chaotic get boarding gate long line minute wait someone check passport boarding pas seat premium economy ok passenger front reclines little space window seat passenger cross overall good airline
